Module,Path,Detail1,Detail2,Detail3,SizeBytes,Severity
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeSamplingDebugMesh,,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeSamplingDebugTexture,,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeVolumeBlendStatesCS,,0,Warning
Missing Reference,Assets/Prefabs/Prefab.prefab,MissingReference,misRef,Prefab/Prefab 7/GameObject,0,Warning
Missing Reference,Assets/Prefabs/Prefab.prefab,MissingReference,misRef,Prefab/Prefab 8,0,Warning
Missing Reference,Assets/Prefabs/Prefab.prefab,MissingReference,misRef,Prefab/Prefab 8/GameObject,0,Warning
Missing Reference,Assets/Scenes/SampleScene.unity,MissingReference,misRef,GameObject/Prefab 7/GameObject,0,Warning
Missing Reference,Assets/Scenes/SampleScene.unity,MissingReference,misRef,GameObject/Prefab 8,0,Warning
Missing Reference,Assets/Scenes/SampleScene.unity,MissingReference,misRef,GameObject/Prefab 8/GameObject,0,Warning
Missing Reference,Assets/Scenes/SampleScene.unity,UnityEngine.Transform,m_CorrespondingSourceObject,GameObject (1),0,Warning
Missing Reference,Assets/Prefabs/Prefab 8.prefab,MissingReference,misRef,Prefab 8,0,Warning
Missing Reference,Assets/Prefabs/Prefab 8.prefab,MissingReference,misRef,Prefab 8/GameObject,0,Warning
Missing Reference,Assets/AddressableAssetsData/AddressableAssetSettings.asset,UnityEditor.AddressableAssets.Settings.AddressableAssetSettings,m_DataBuilders.Array.data[0],,0,Warning
Duplicate,Assets/556430213_1371645721630007_8687275741614109558_n 2.jpg,Hash: 56cdeccd5feaa337d2ef5ae22381c2c81f19a3be6c89c3aa03b5e8647ac2a39b,Refs: 0,Duplicate,72467,
Duplicate,Assets/556430213_1371645721630007_8687275741614109558_n.jpg,Hash: 56cdeccd5feaa337d2ef5ae22381c2c81f19a3be6c89c3aa03b5e8647ac2a39b,Refs: 0,Canonical,72467,
Package Audit,com.unity.modules.cloth,Cloth,1.0.0,Unused,0,
Package Audit,com.unity.modules.hierarchycore,Hierarchy Core,1.0.0,Unused,0,
Package Audit,com.unity.ide.rider,JetBrains Rider Editor,3.0.39,Unused,0,
Package Audit,com.unity.modules.physics2d,Physics 2D,1.0.0,Unused,0,
Package Audit,com.unity.modules.screencapture,Screen Capture,1.0.0,Unused,0,
Package Audit,com.unity.modules.subsystems,Subsystems,1.0.0,Unused,0,
Package Audit,com.unity.modules.terrainphysics,Terrain Physics,1.0.0,Unused,0,
Package Audit,com.unity.modules.tilemap,Tilemap,1.0.0,Unused,0,
Package Audit,com.unity.modules.umbra,Umbra,1.0.0,Unused,0,
Package Audit,com.unity.modules.unityanalytics,Unity Analytics,1.0.0,Unused,0,
Package Audit,com.unity.collab-proxy,Unity Version Control,2.11.3,Unused,0,
Package Audit,com.unity.modules.unitywebrequestaudio,Unity Web Request Audio,1.0.0,Unused,0,
Package Audit,com.unity.modules.unitywebrequesttexture,Unity Web Request Texture,1.0.0,Unused,0,
Package Audit,com.unity.modules.unitywebrequestwww,Unity Web Request WWW,1.0.0,Unused,0,
Package Audit,com.unity.modules.vectorgraphics,Vector Graphics,1.0.0,Unused,0,
Package Audit,com.unity.modules.vehicles,Vehicles,1.0.0,Unused,0,
Package Audit,com.unity.modules.video,Video,1.0.0,Unused,0,
Package Audit,com.unity.ide.visualstudio,Visual Studio Editor,2.0.26,Unused,0,
Package Audit,com.unity.modules.vr,VR,1.0.0,Unused,0,
Package Audit,com.unity.modules.wind,Wind,1.0.0,Unused,0,
Package Audit,com.unity.modules.xr,XR,1.0.0,Unused,0,
Package Audit,com.unity.modules.ai,AI,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.animation,Animation,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.assetbundle,Asset Bundle,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.audio,Audio,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.ext.nunit,Custom NUnit,2.0.5,TransitiveOnly,0,
Package Audit,com.unity.modules.director,Director,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.imageconversion,Image Conversion,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.imgui,IMGUI,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.jsonserialize,JSONSerialize,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.nuget.mono-cecil,Mono Cecil,1.11.6,TransitiveOnly,0,
Package Audit,com.unity.modules.particlesystem,Particle System,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.test-framework.performance,Performance testing API,3.2.0,TransitiveOnly,0,
Package Audit,com.unity.modules.physics,Physics,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.searcher,Searcher,4.9.4,TransitiveOnly,0,
Package Audit,com.unity.modules.terrain,Terrain,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.ui,UI,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.uielements,UIElements,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.unitywebrequest,Unity Web Request,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.modules.unitywebrequestassetbundle,Unity Web Request Asset Bundle,1.0.0,TransitiveOnly,0,
Package Audit,com.unity.addressables,Addressables,2.8.1,Used,0,
Package Audit,com.unity.ai.navigation,AI Navigation,2.0.9,Used,0,
Package Audit,com.unity.burst,Burst,1.8.27,Used,0,
Package Audit,com.unity.collections,Collections,2.6.2,Used,0,
Package Audit,com.unity.inputsystem,Input System,1.18.0,Used,0,
Package Audit,com.unity.mathematics,Mathematics,1.3.3,Used,0,
Package Audit,com.unity.multiplayer.center,Multiplayer Center,1.0.1,Used,0,
Package Audit,com.unity.scriptablebuildpipeline,Scriptable Build Pipeline,2.5.2,Used,0,
Package Audit,com.unity.render-pipelines.core,Scriptable Render Pipeline Core,17.3.0,Used,0,
Package Audit,com.unity.shadergraph,Shader Graph,17.3.0,Used,0,
Package Audit,com.unity.test-framework,Test Framework,1.6.0,Used,0,
Package Audit,com.unity.timeline,Timeline,1.8.10,Used,0,
Package Audit,com.unity.ugui,uGUI,2.0.0,Used,0,
Package Audit,com.unity.profiling.core,Unity Profiling Core API,1.0.3,Used,0,
Package Audit,com.unity.render-pipelines.universal,Universal Render Pipeline,17.3.0,Used,0,
Package Audit,com.unity.render-pipelines.universal-config,Universal Render Pipeline Config,17.0.3,Used,0,
Package Audit,com.unity.visualscripting,Visual Scripting,1.9.9,Used,0,
Shader,Packages/com.unity.render-pipelines.universal/Shaders/ComplexLit.shader,Universal Render Pipeline/Complex Lit,Variants: 2147483647,UNUSED,22995,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Lit.shader,Universal Render Pipeline/Lit,Variants: 2147483647,OK,22756,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Nature/SpeedTree7.shader,Universal Render Pipeline/Nature/SpeedTree7,Variants: 2147483647,UNUSED,8828,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/SimpleLit.shader,Universal Render Pipeline/Simple Lit,Variants: 2147483647,OK,19416,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Terrain/TerrainLit.shader,Universal Render Pipeline/Terrain/Lit,Variants: 148635648,OK,13829,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Particles/ParticlesLit.shader,Universal Render Pipeline/Particles/Lit,Variants: 27869184,UNUSED,18820,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Terrain/TerrainLitBase.shader,Hidden/Universal Render Pipeline/Terrain/Lit (Base Pass),Variants: 14155776,UNUSED,10050,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Nature/SpeedTree8.shader,Universal Render Pipeline/Nature/SpeedTree8,Variants: 7962624,UNUSED,10776,Warning
